Frecuencia (Hz)	volumen (dB)
1641,906738	-88,806015
1644,598389	-89,922112
1647,290039	-90,278084
1649,981689	-88,667946
1652,673340	-89,285561
1655,364990	-91,906715
1658,056641	-90,515060
1660,748291	-91,294319
1663,439941	-91,223282
1666,131592	-90,800629
1668,823242	-91,646797
1671,514893	-90,804474
1674,206543	-89,809067
1676,898193	-90,024002
1679,589844	-89,146034
1682,281494	-91,041634
1684,973145	-91,099815
1687,664795	-90,704628
1690,356445	-90,750763
1693,048096	-91,425880
1695,739746	-91,556511
1698,431396	-91,509415
1701,123047	-92,869339
1703,814697	-91,710762
1706,506348	-92,431023
1709,197998	-92,823303
1711,889648	-90,079323
1714,581299	-91,058807
1717,272949	-92,330017
1719,964600	-91,544304
1722,656250	-92,290016
1725,347900	-91,350403
1728,039551	-92,801537
1730,731201	-92,649445
1733,422852	-90,849174
1736,114502	-90,941505
1738,806152	-92,217522
1741,497803	-92,708939
1744,189453	-90,647339
1746,881104	-91,072563
1749,572754	-90,595512
1752,264404	-91,346992
1754,956055	-91,785576
1757,647705	-93,626518
1760,339355	-93,400391
1763,031006	-93,001434
1765,722656	-90,725800
1768,414307	-90,332443
1771,105957	-88,971786
1773,797607	-90,873322
1776,489258	-90,494827
1779,180908	-92,090591
1781,872559	-90,036255
1784,564209	-91,574677
1787,255859	-92,152733
1789,947510	-92,115829
1792,639160	-92,511253
1795,330811	-93,293312
1798,022461	-92,985977
1800,714111	-91,169548
1803,405762	-92,157333
1806,097412	-91,846512
1808,789063	-93,316917
1811,480713	-93,307777
1814,172363	-92,079376
1816,864014	-92,812988
1819,555664	-93,703941
1822,247314	-90,689339
1824,938965	-91,702621
1827,630615	-91,709023
1830,322266	-92,325737
1833,013916	-92,272766
1835,705566	-93,447952
1838,397217	-92,748047
1841,088867	-94,474068
1843,780518	-93,456787
1846,472168	-91,956688
1849,163818	-91,926697
1851,855469	-91,258629
1854,547119	-92,419693
1857,238770	-93,764656
1859,930420	-91,983795
1862,622070	-89,916916
1865,313721	-88,974586
1868,005371	-90,250053
1870,697021	-93,005882
1873,388672	-93,415489
1876,080322	-93,991676
1878,771973	-93,504517
1881,463623	-91,972389
1884,155273	-91,501213
1886,846924	-92,465279
1889,538574	-93,047844
1892,230225	-93,574089
1894,921875	-92,345627
1897,613525	-92,705688
1900,305176	-92,250000
1902,996826	-92,381821
1905,688477	-92,053642
1908,380127	-93,052536
1911,071777	-91,813072
1913,763428	-91,451645
1916,455078	-92,192871
1919,146729	-90,341202
1921,838379	-93,707664
1924,530029	-92,600830
1927,221680	-93,556541
1929,913330	-94,711029
1932,604980	-92,564835
1935,296631	-92,524178
1937,988281	-92,534012
1940,679932	-93,416817
1943,371582	-93,348129
1946,063232	-93,068871
1948,754883	-94,762726
1951,446533	-92,574020
1954,138184	-91,230980
1956,829834	-94,120964
1959,521484	-93,320488
1962,213135	-93,036858
1964,904785	-93,008072
1967,596436	-92,385780
1970,288086	-93,824486
1972,979736	-93,000404
1975,671387	-91,300926
1978,363037	-93,079353
1981,054688	-94,931786
1983,746338	-93,477722
1986,437988	-95,146706
1989,129639	-92,575676
1991,821289	-94,571938
1994,512939	-95,410942
1997,204590	-94,211761
1999,896240	-93,576614
2002,587891	-91,909798
2005,279541	-92,445763
2007,971191	-93,407333
2010,662842	-94,766769
2013,354492	-93,030739
2016,046143	-92,922935
2018,737793	-93,071907
2021,429443	-93,944809
2024,121094	-93,963669
2026,812744	-94,367249
2029,504395	-94,370750
2032,196045	-93,409462
2034,887695	-93,466759
2037,579346	-93,355415
2040,270996	-93,137169
2042,962646	-93,975983
2045,654297	-93,930580
2048,345947	-93,059097
2051,037598	-93,055527
2053,729248	-94,204964
2056,420898	-91,453354
2059,112549	-92,551247
2061,804199	-92,715218
2064,495850	-93,462593
2067,187500	-93,879639
2069,879150	-92,522163
2072,570801	-92,397652
2075,262451	-92,135559
2077,954102	-91,768867
2080,645752	-92,202103
2083,337402	-91,281570
2086,029053	-91,239845
2088,720703	-91,806480
2091,412354	-91,482635
2094,104004	-90,603600
2096,795654	-91,119003
2099,487305	-92,981758
2102,178955	-93,258469
2104,870605	-93,627335
2107,562256	-93,341377
2110,253906	-91,690903
2112,945557	-92,082603
2115,637207	-95,144882
2118,328857	-92,204338
2121,020508	-93,153404
2123,712158	-93,189529
2126,403809	-93,194511
2129,095459	-93,137558
2131,787109	-92,895927
2134,478760	-95,066345
2137,170410	-93,744141
2139,862061	-93,124207
2142,553711	-94,016708
2145,245361	-94,078033
2147,937012	-92,667274
2150,628662	-92,842064
2153,320313	-93,508385
2156,011963	-93,496010
2158,703613	-93,211021
2161,395264	-94,212029
2164,086914	-93,313721
2166,778564	-91,316597
2169,470215	-92,226898
2172,161865	-93,250229
2174,853516	-91,954826
2177,545166	-92,176804
2180,236816	-92,251740
2182,928467	-92,175392
2185,620117	-92,157692
2188,311768	-92,868011
2191,003418	-90,182968
2193,695068	-91,132423
2196,386719	-91,968750
2199,078369	-91,951500
2201,770020	-91,374046
2204,461670	-92,349709
2207,153320	-94,441391
2209,844971	-91,500122
2212,536621	-92,712227
2215,228271	-94,183189
2217,919922	-91,991989
2220,611572	-91,782562
2223,303223	-91,217361
2225,994873	-92,508156
2228,686523	-91,237106
2231,378174	-92,439819
2234,069824	-92,206848
2236,761475	-91,939651
2239,453125	-93,377388
2242,144775	-92,245346
2244,836426	-92,349739
2247,528076	-93,972702
2250,219727	-91,274902
2252,911377	-93,857407
2255,603027	-94,394081
2258,294678	-93,862572
2260,986328	-92,925690
2263,677979	-93,442986
2266,369629	-92,859879
2269,061279	-93,643051
2271,752930	-94,239578
2274,444580	-92,958076
2277,136230	-93,082016
2279,827881	-90,392395
2282,519531	-93,693932
2285,211182	-93,609955
2287,902832	-93,141685
2290,594482	-92,073853
2293,286133	-94,006447
2295,977783	-93,860725
2298,669434	-93,572456
2301,361084	-93,002541
2304,052734	-92,986099
2306,744385	-90,382919
2309,436035	-91,893204
2312,127686	-93,657265
2314,819336	-92,859978
2317,510986	-92,852394
2320,202637	-93,011848
2322,894287	-93,826225
2325,585938	-92,373360
2328,277588	-92,640396
2330,969238	-92,109131
2333,660889	-94,758354
2336,352539	-95,505013
2339,044189	-93,752251
2341,735840	-93,034821
2344,427490	-93,908455
2347,119141	-95,273178
2349,810791	-93,194771
2352,502441	-93,227592
2355,194092	-94,442535
2357,885742	-94,501045
2360,577393	-94,250496
2363,269043	-91,146957
2365,960693	-93,426094
2368,652344	-94,684219
2371,343994	-94,390610
2374,035645	-95,065987
2376,727295	-96,027718
2379,418945	-93,763290
2382,110596	-95,373108
2384,802246	-93,433990
2387,493896	-93,234337
2390,185547	-93,573303
2392,877197	-93,822342
2395,568848	-93,379951
2398,260498	-93,108498
2400,952148	-93,636421
2403,643799	-93,939171
2406,335449	-93,746475
2409,027100	-94,773102
2411,718750	-94,668503
2414,410400	-93,258011
2417,102051	-94,843094
2419,793701	-93,365410
2422,485352	-93,858360
2425,177002	-93,678490
2427,868652	-94,285835
2430,560303	-92,784393
2433,251953	-94,892815
2435,943604	-94,186760
2438,635254	-94,158035
2441,326904	-94,101814
2444,018555	-93,988678
2446,710205	-93,475830
2449,401855	-94,677406
2452,093506	-93,689491
