Frecuencia (Hz)	volumen (dB)
1526,165771	-92,153198
1528,857422	-93,667480
1531,549072	-93,595642
1534,240723	-94,069809
1536,932373	-94,117249
1539,624023	-95,169426
1542,315674	-94,368431
1545,007324	-94,167160
1547,698975	-95,161133
1550,390625	-94,654358
1553,082275	-94,349594
1555,773926	-93,220184
1558,465576	-94,481026
1561,157227	-93,008972
1563,848877	-93,973320
1566,540527	-94,129395
1569,232178	-92,331543
1571,923828	-92,731956
1574,615479	-91,922821
1577,307129	-93,109879
1579,998779	-91,394279
1582,690430	-93,120796
1585,382080	-94,106888
1588,073730	-95,204620
1590,765381	-95,060097
1593,457031	-94,899406
1596,148682	-94,725075
1598,840332	-93,909004
1601,531982	-94,275764
1604,223633	-95,846840
1606,915283	-94,152916
1609,606934	-94,583206
1612,298584	-95,239441
1614,990234	-94,275444
1617,681885	-94,395897
1620,373535	-96,428429
1623,065186	-96,230774
1625,756836	-95,485298
1628,448486	-95,002174
1631,140137	-97,024750
1633,831787	-96,347313
1636,523438	-94,572662
1639,215088	-96,555916
1641,906738	-95,847878
1644,598389	-97,298134
1647,290039	-96,687271
1649,981689	-96,548775
1652,673340	-97,420647
1655,364990	-95,250381
1658,056641	-95,708275
1660,748291	-95,467155
1663,439941	-94,380501
1666,131592	-93,665359
1668,823242	-94,899330
1671,514893	-95,441788
1674,206543	-96,280678
1676,898193	-95,458374
1679,589844	-93,505287
1682,281494	-91,948784
1684,973145	-94,786568
1687,664795	-94,376335
1690,356445	-94,107811
1693,048096	-94,024490
1695,739746	-94,338661
1698,431396	-94,520073
1701,123047	-94,684174
1703,814697	-95,951591
1706,506348	-94,583740
1709,197998	-94,734703
1711,889648	-93,651817
1714,581299	-95,038483
1717,272949	-96,003242
1719,964600	-96,697968
1722,656250	-95,093140
1725,347900	-94,114288
1728,039551	-96,351974
1730,731201	-94,672318
1733,422852	-96,802467
1736,114502	-95,580376
1738,806152	-96,169083
1741,497803	-96,424591
1744,189453	-95,982216
1746,881104	-96,845535
1749,572754	-94,549110
1752,264404	-95,803886
1754,956055	-95,294853
1757,647705	-95,858231
1760,339355	-98,916145
1763,031006	-96,567825
1765,722656	-96,644051
1768,414307	-96,189369
1771,105957	-97,802589
1773,797607	-96,575050
1776,489258	-96,146706
1779,180908	-98,683968
1781,872559	-96,979286
1784,564209	-95,972687
1787,255859	-95,587784
1789,947510	-96,617500
1792,639160	-98,204247
