Frecuencia (Hz)	volumen (dB)
1310,833740	-89,505920
1313,525391	-88,999054
1316,217041	-89,151321
1318,908691	-88,720634
1321,600342	-88,911629
1324,291992	-88,441261
1326,983643	-89,196098
1329,675293	-86,918495
1332,366943	-87,225876
1335,058594	-87,695824
1337,750244	-88,936302
1340,441895	-89,148155
1343,133545	-89,559006
1345,825195	-89,792877
1348,516846	-90,187073
1351,208496	-90,770920
1353,900146	-89,755264
1356,591797	-88,350388
1359,283447	-89,825424
1361,975098	-89,127090
1364,666748	-91,567719
1367,358398	-90,579453
1370,050049	-89,399185
1372,741699	-89,773323
1375,433350	-88,863113
1378,125000	-87,382332
1380,816650	-83,085617
1383,508301	-88,101662
1386,199951	-91,048111
1388,891602	-90,695137
1391,583252	-90,315262
1394,274902	-90,941208
1396,966553	-91,935555
1399,658203	-91,835342
1402,349854	-92,722664
1405,041504	-91,050262
1407,733154	-91,041855
1410,424805	-91,860909
1413,116455	-91,322105
1415,808105	-92,669945
1418,499756	-93,010284
1421,191406	-91,520729
1423,883057	-92,839195
1426,574707	-90,683350
1429,266357	-91,058922
1431,958008	-90,231972
1434,649658	-90,486961
1437,341309	-88,671806
1440,032959	-88,132317
1442,724609	-91,906830
1445,416260	-92,616104
1448,107910	-90,628937
1450,799561	-91,587280
1453,491211	-91,473091
1456,182861	-91,490318
1458,874512	-92,307732
1461,566162	-93,662888
1464,257813	-92,769035
1466,949463	-92,602333
1469,641113	-92,117943
1472,332764	-92,525131
1475,024414	-91,806206
1477,716064	-92,431641
1480,407715	-91,350906
1483,099365	-91,510406
1485,791016	-90,851456
1488,482666	-91,286957
1491,174316	-90,121284
1493,865967	-90,090195
1496,557617	-90,217163
1499,249268	-91,708694
1501,940918	-91,182999
1504,632568	-89,670517
1507,324219	-89,658394
1510,015869	-91,495804
1512,707520	-91,527168
1515,399170	-90,211784
1518,090820	-90,873672
1520,782471	-91,932426
1523,474121	-91,614594
1526,165771	-91,841820
1528,857422	-90,218117
1531,549072	-91,556946
1534,240723	-91,842033
1536,932373	-93,472084
1539,624023	-92,240326
1542,315674	-91,164658
1545,007324	-93,695694
1547,698975	-92,426926
1550,390625	-90,821472
1553,082275	-91,390335
1555,773926	-91,501122
1558,465576	-88,342628
1561,157227	-88,166222
1563,848877	-92,744759
1566,540527	-90,097137
1569,232178	-90,206573
1571,923828	-90,397751
1574,615479	-90,617195
1577,307129	-91,888405
1579,998779	-91,498672
1582,690430	-92,448524
1585,382080	-91,616432
1588,073730	-91,851463
1590,765381	-90,520309
1593,457031	-92,343384
1596,148682	-92,647804
1598,840332	-93,551506
1601,531982	-91,552803
1604,223633	-92,131218
1606,915283	-91,489922
1609,606934	-89,444450
1612,298584	-90,528488
1614,990234	-91,649162
1617,681885	-91,001785
1620,373535	-91,296661
1623,065186	-90,742729
1625,756836	-92,885414
1628,448486	-92,094200
1631,140137	-90,841194
1633,831787	-91,930153
1636,523438	-91,510231
1639,215088	-90,165932
1641,906738	-91,493980
1644,598389	-89,795662
1647,290039	-89,405418
1649,981689	-90,317055
1652,673340	-90,836037
1655,364990	-91,526039
1658,056641	-91,184158
1660,748291	-91,686737
1663,439941	-91,892838
1666,131592	-92,204834
1668,823242	-91,368507
1671,514893	-92,751152
1674,206543	-91,195549
1676,898193	-91,027412
1679,589844	-90,920158
1682,281494	-90,094940
1684,973145	-90,231293
1687,664795	-92,018204
1690,356445	-91,027451
1693,048096	-91,489273
1695,739746	-92,000511
1698,431396	-91,284088
1701,123047	-90,939629
1703,814697	-93,297234
1706,506348	-92,607887
1709,197998	-92,730995
1711,889648	-92,630028
1714,581299	-90,709824
1717,272949	-91,309746
1719,964600	-91,508087
1722,656250	-91,387154
1725,347900	-90,709175
1728,039551	-92,729843
1730,731201	-92,094398
1733,422852	-91,513855
1736,114502	-91,856651
1738,806152	-91,670479
1741,497803	-92,686035
1744,189453	-92,369179
1746,881104	-93,721260
1749,572754	-90,992477
1752,264404	-93,043373
1754,956055	-92,001740
1757,647705	-93,923012
1760,339355	-91,273193
1763,031006	-92,960449
1765,722656	-91,045242
1768,414307	-91,476379
1771,105957	-90,686440
1773,797607	-90,843681
1776,489258	-91,182487
1779,180908	-93,753067
1781,872559	-94,103767
1784,564209	-91,194954
1787,255859	-91,947624
1789,947510	-95,123276
1792,639160	-92,323860
1795,330811	-93,139336
1798,022461	-91,336273
1800,714111	-89,998093
1803,405762	-92,824577
1806,097412	-93,130424
1808,789063	-93,150047
1811,480713	-92,918724
1814,172363	-93,167351
1816,864014	-92,582336
1819,555664	-92,893715
1822,247314	-92,434814
1824,938965	-93,142906
1827,630615	-91,531265
1830,322266	-91,132751
1833,013916	-93,007408
1835,705566	-92,266808
1838,397217	-94,138237
1841,088867	-92,978058
1843,780518	-93,847160
1846,472168	-95,199005
1849,163818	-93,805298
1851,855469	-94,909821
1854,547119	-94,617538
1857,238770	-94,196404
1859,930420	-93,485504
1862,622070	-92,608833
1865,313721	-91,241127
1868,005371	-92,908745
1870,697021	-94,520844
1873,388672	-93,909569
1876,080322	-93,233093
1878,771973	-94,780525
1881,463623	-93,359276
1884,155273	-91,581718
1886,846924	-92,841278
1889,538574	-92,633995
1892,230225	-92,940384
1894,921875	-91,781128
1897,613525	-91,902489
1900,305176	-94,546532
1902,996826	-92,987335
1905,688477	-91,992584
1908,380127	-93,032944
1911,071777	-93,631485
1913,763428	-94,399811
1916,455078	-92,988976
1919,146729	-91,860115
1921,838379	-93,562798
1924,530029	-93,676437
1927,221680	-93,763870
1929,913330	-92,444023
1932,604980	-94,466599
1935,296631	-94,997864
1937,988281	-94,487663
1940,679932	-92,662468
1943,371582	-91,857742
1946,063232	-93,214096
1948,754883	-95,189552
1951,446533	-93,010826
1954,138184	-94,506622
1956,829834	-93,115364
1959,521484	-93,063927
1962,213135	-94,391380
1964,904785	-93,869125
1967,596436	-93,193970
1970,288086	-93,116180
1972,979736	-94,305443
1975,671387	-94,525887
1978,363037	-92,933914
1981,054688	-94,373367
1983,746338	-94,298622
1986,437988	-94,200241
1989,129639	-93,173431
1991,821289	-93,138023
1994,512939	-94,522247
1997,204590	-94,079903
1999,896240	-92,402245
2002,587891	-92,231964
2005,279541	-94,642693
2007,971191	-95,063332
2010,662842	-95,690834
2013,354492	-95,272186
2016,046143	-94,548943
2018,737793	-94,237183
2021,429443	-94,636002
2024,121094	-93,774704
2026,812744	-93,972168
2029,504395	-93,184776
2032,196045	-93,373993
2034,887695	-93,605835
2037,579346	-92,239189
2040,270996	-93,223785
2042,962646	-93,171867
2045,654297	-93,458847
2048,345947	-92,510513
2051,037598	-93,896286
2053,729248	-94,036781
2056,420898	-93,102638
2059,112549	-95,999527
2061,804199	-93,179237
2064,495850	-94,050354
2067,187500	-93,840950
2069,879150	-93,585167
2072,570801	-92,289375
2075,262451	-93,371948
